,Common Values,Drug 1 total substructures,Drug 2 total substructures,interaction
0,2890,0,0,5
1,2884,0,6,7
2,2881,0,9,1
3,2838,0,52,1
4,2757,0,133,5
5,2866,0,24,5
6,2836,0,54,5
7,2890,0,0,5
8,2804,0,86,5
9,2855,0,35,6
10,2836,0,54,5
11,2852,0,38,5
12,2828,0,62,5
13,2890,0,0,5
14,2890,0,0,5
15,2890,0,0,5
16,2630,0,260,7
17,2870,0,20,7
18,2873,0,17,5
19,2881,0,9,5
20,2817,0,73,5
21,2808,0,82,7
22,2843,0,47,5
23,2852,0,38,5
24,2851,0,39,5
25,2841,0,49,7
26,2820,0,70,5
27,2890,0,0,5
28,2808,0,82,5
29,2890,0,0,5
30,2855,0,35,1
31,2883,0,7,1
32,2890,0,0,7
33,2816,0,74,5
34,2890,0,0,5
35,2884,0,6,5
36,2859,0,31,5
37,2842,0,48,1
38,2819,0,71,7
39,2854,0,36,5
40,2890,0,0,5
41,2865,0,25,7
42,2889,0,1,5
43,2711,0,179,7
44,2855,0,35,7
45,2810,0,80,5
46,2885,0,5,5
47,2661,0,229,7
48,2674,0,216,7
49,2876,0,14,5
50,2829,0,61,5
51,2890,0,0,5
52,2721,0,169,1
53,2781,0,109,5
54,2845,0,45,5
55,2847,0,43,5
56,2851,0,39,5
57,2863,0,27,5
58,2889,0,1,5
59,2855,0,35,7
60,2857,0,33,5
61,2789,0,101,7
62,2866,0,24,7
63,2817,0,73,5
64,2890,0,0,5
65,2890,0,0,5
66,2861,0,29,1
67,2849,0,41,5
68,2814,0,76,5
69,2847,0,43,5
70,2890,0,0,7
71,2890,0,0,3
72,2837,0,53,6
73,2890,0,0,7
74,2808,0,82,7
75,2890,0,0,5
76,2890,0,0,5
77,2879,0,11,7
78,2843,0,47,5
79,2883,0,7,5
80,2850,0,40,5
81,2778,0,112,7
82,2837,0,53,5
83,2719,0,171,7
84,2821,0,69,7
85,2845,0,45,7
86,2831,0,59,1
87,2890,0,0,7
88,2882,0,8,5
89,2815,0,75,5
90,2879,0,11,7
91,2805,0,85,1
92,2885,0,5,5
93,2666,0,224,7
94,2874,0,16,7
95,2890,0,0,5
96,2887,0,3,5
97,2829,0,61,5
98,2851,0,39,5
99,2890,0,0,5
100,2817,0,73,7
101,2847,0,43,5
102,2712,0,178,5
103,2868,0,22,1
104,2856,0,34,5
105,2889,0,1,5
106,2844,0,46,5
107,2852,0,38,1
108,2870,0,20,5
109,2888,0,2,5
110,2830,0,60,5
111,2860,0,30,7
112,2889,0,1,5
113,2835,0,55,5
114,2890,0,0,5
115,2866,0,24,5
116,2869,0,21,5
117,2817,0,73,5
118,2890,0,0,5
119,2845,0,45,7
120,2877,0,13,5
121,2852,0,38,5
122,2676,0,214,5
123,2751,0,139,7
124,2890,0,0,5
125,2889,0,1,5
126,2812,0,78,5
127,2845,0,45,5
128,2769,0,121,5
129,2823,0,67,7
130,2866,0,24,5
131,2866,0,24,5
132,2875,0,15,7
133,2660,0,230,7
134,2849,0,41,5
135,2845,0,45,7
136,2863,0,27,5
137,2653,0,237,5
138,2888,0,2,5
139,2881,0,9,7
140,2890,0,0,5
141,2890,0,0,5
142,2877,0,13,7
143,2832,0,58,5
144,2853,0,37,5
145,2674,0,216,7
146,2845,0,45,5
147,2890,0,0,7
148,2889,0,1,1
149,2889,0,1,7
150,2838,0,52,7
151,2862,0,28,5
152,2845,0,45,5
153,2854,0,36,5
154,2864,0,26,7
155,2859,0,31,7
156,2890,0,0,5
157,2871,0,19,5
158,2856,0,34,7
159,2870,0,20,5
160,2726,0,164,5
161,2827,0,63,5
162,2887,0,3,7
163,2890,0,0,5
164,2890,0,0,5
165,2857,0,33,7
166,2817,0,73,7
167,2890,0,0,5
168,2837,0,53,5
169,2792,0,98,7
170,2804,0,86,5
171,2890,0,0,5
172,2728,0,162,7
173,2873,0,17,5
174,2855,0,35,5
175,2890,0,0,5
176,2814,0,76,5
177,2858,0,32,5
178,2890,0,0,6
179,2890,0,0,5
180,2883,0,7,7
181,2890,0,0,5
182,2806,0,84,5
183,2759,0,131,5
184,2883,0,7,7
185,2710,0,180,5
186,2584,0,306,1
187,2887,0,3,5
188,2890,0,0,5
189,2818,0,72,5
190,2885,0,5,1
191,2761,0,129,5
192,2890,0,0,5
193,2810,0,80,5
194,2890,0,0,5
195,2867,0,23,7
196,2889,0,1,1
197,2854,0,36,5
198,2890,0,0,5
199,2746,0,144,5
200,2845,0,45,7
201,2762,0,128,5
202,2890,0,0,7
203,2841,0,49,5
204,2858,0,32,5
205,2882,0,8,5
206,2890,0,0,5
207,2882,0,8,1
208,2865,0,25,1
209,2890,0,0,5
210,2843,0,47,1
211,2879,0,11,7
212,2890,0,0,5
213,2886,0,4,5
214,2742,0,148,7
215,2869,0,21,7
216,2890,0,0,5
217,2887,0,3,5
218,2860,0,30,7
219,2641,0,249,5
220,2870,0,20,5
221,2890,0,0,5
222,2846,0,44,5
223,2890,0,0,5
224,2839,0,51,5
225,2828,0,62,5
226,2859,0,31,1
227,2816,0,74,5
228,2767,0,123,5
229,2814,0,76,7
230,2787,0,103,7
231,2615,0,275,1
232,2801,0,89,5
233,2874,0,16,7
234,2888,0,2,5
235,2878,0,12,1
236,2888,0,2,7
237,2889,0,1,5
238,2873,0,17,5
239,2862,0,28,5
240,2846,0,44,5
241,2777,0,113,5
242,2890,0,0,7
243,2890,0,0,5
244,2890,0,0,7
245,2849,0,41,7
246,2793,0,97,7
247,2886,0,4,7
248,2890,0,0,5
249,2890,0,0,5
250,2879,0,11,5
251,2890,0,0,5
252,2890,0,0,5
253,2808,0,82,7
254,2884,0,6,5
255,2881,0,9,5
256,2838,0,52,5
257,2757,0,133,5
258,2866,0,24,5
259,2836,0,54,5
260,2890,0,0,5
261,2804,0,86,5
262,2852,0,38,5
263,2828,0,62,5
264,2890,0,0,5
265,2890,0,0,5
266,2890,0,0,5
267,2630,0,260,5
268,2870,0,20,5
269,2873,0,17,5
270,2881,0,9,5
271,2817,0,73,5
272,2808,0,82,7
273,2843,0,47,5
274,2852,0,38,5
275,2851,0,39,5
276,2841,0,49,7
277,2820,0,70,5
278,2808,0,82,5
279,2890,0,0,5
280,2855,0,35,5
281,2883,0,7,5
282,2890,0,0,5
283,2816,0,74,5
284,2890,0,0,5
285,2884,0,6,5
286,2859,0,31,5
287,2842,0,48,5
288,2819,0,71,5
289,2854,0,36,5
290,2890,0,0,5
291,2865,0,25,7
292,2889,0,1,5
293,2711,0,179,5
294,2855,0,35,5
295,2810,0,80,5
296,2885,0,5,5
297,2661,0,229,5
298,2674,0,216,5
299,2876,0,14,5
300,2829,0,61,5
301,2890,0,0,5
302,2721,0,169,5
303,2781,0,109,7
304,2845,0,45,5
305,2847,0,43,5
306,2851,0,39,5
307,2863,0,27,5
308,2889,0,1,5
309,2855,0,35,5
310,2857,0,33,5
311,2789,0,101,5
312,2866,0,24,7
313,2817,0,73,5
314,2890,0,0,5
315,2890,0,0,5
316,2861,0,29,5
317,2849,0,41,5
318,2814,0,76,5
319,2847,0,43,7
320,2890,0,0,5
321,2890,0,0,3
322,2890,0,0,5
323,2808,0,82,7
324,2890,0,0,5
325,2879,0,11,5
326,2843,0,47,5
327,2850,0,40,5
328,2778,0,112,5
329,2837,0,53,7
330,2719,0,171,7
331,2821,0,69,5
332,2845,0,45,5
333,2831,0,59,5
334,2890,0,0,5
335,2882,0,8,5
336,2815,0,75,5
337,2879,0,11,5
338,2805,0,85,5
339,2885,0,5,5
340,2666,0,224,5
341,2874,0,16,5
342,2890,0,0,5
343,2887,0,3,5
344,2829,0,61,5
345,2851,0,39,5
346,2890,0,0,5
347,2817,0,73,5
348,2847,0,43,5
349,2712,0,178,5
350,2868,0,22,5
351,2856,0,34,5
352,2889,0,1,5
353,2844,0,46,5
354,2852,0,38,7
355,2870,0,20,5
356,2888,0,2,5
357,2830,0,60,5
358,2860,0,30,7
359,2889,0,1,5
360,2835,0,55,5
361,2890,0,0,5
362,2866,0,24,5
363,2869,0,21,5
364,2817,0,73,5
365,2890,0,0,5
366,2845,0,45,7
367,2877,0,13,5
368,2852,0,38,5
369,2676,0,214,5
370,2751,0,139,5
371,2890,0,0,5
372,2812,0,78,5
373,2845,0,45,5
374,2769,0,121,5
375,2823,0,67,5
376,2866,0,24,5
377,2866,0,24,5
378,2875,0,15,5
379,2660,0,230,5
380,2849,0,41,5
381,2845,0,45,7
382,2863,0,27,5
383,2653,0,237,5
384,2888,0,2,7
385,2881,0,9,7
386,2890,0,0,5
387,2890,0,0,5
388,2877,0,13,7
389,2832,0,58,5
390,2853,0,37,5
391,2674,0,216,7
392,2845,0,45,5
393,2890,0,0,5
394,2889,0,1,5
395,2889,0,1,5
396,2838,0,52,5
397,2862,0,28,5
398,2845,0,45,5
399,2854,0,36,7
400,2864,0,26,5
401,2859,0,31,5
402,2890,0,0,5
403,2871,0,19,5
404,2856,0,34,5
405,2870,0,20,5
406,2726,0,164,5
407,2827,0,63,5
408,2887,0,3,5
409,2890,0,0,5
410,2890,0,0,5
411,2857,0,33,5
412,2817,0,73,7
413,2890,0,0,5
414,2837,0,53,5
415,2792,0,98,7
416,2804,0,86,5
417,2890,0,0,5
418,2728,0,162,5
419,2873,0,17,5
420,2855,0,35,7
421,2890,0,0,5
422,2814,0,76,5
423,2858,0,32,7
424,2890,0,0,5
425,2890,0,0,5
426,2883,0,7,5
427,2890,0,0,5
428,2806,0,84,5
429,2759,0,131,5
430,2883,0,7,5
431,2710,0,180,5
432,2584,0,306,5
433,2887,0,3,5
434,2890,0,0,5
435,2818,0,72,5
436,2885,0,5,5
437,2761,0,129,5
438,2890,0,0,5
439,2810,0,80,5
440,2890,0,0,5
441,2867,0,23,5
442,2889,0,1,5
443,2854,0,36,5
444,2890,0,0,5
445,2746,0,144,5
446,2845,0,45,7
447,2762,0,128,5
448,2890,0,0,5
449,2841,0,49,5
450,2858,0,32,5
451,2882,0,8,5
452,2890,0,0,5
453,2882,0,8,5
454,2865,0,25,5
455,2890,0,0,5
456,2843,0,47,5
457,2879,0,11,5
458,2890,0,0,5
459,2886,0,4,5
460,2742,0,148,5
461,2869,0,21,7
462,2890,0,0,5
463,2887,0,3,5
464,2860,0,30,7
465,2641,0,249,5
466,2870,0,20,5
467,2890,0,0,5
468,2846,0,44,5
469,2890,0,0,5
470,2839,0,51,5
471,2828,0,62,5
472,2859,0,31,5
473,2816,0,74,5
474,2767,0,123,5
475,2814,0,76,5
476,2787,0,103,5
477,2615,0,275,5
478,2801,0,89,5
479,2874,0,16,7
480,2888,0,2,5
481,2878,0,12,5
482,2888,0,2,5
483,2889,0,1,5
484,2873,0,17,5
485,2862,0,28,5
486,2846,0,44,5
487,2777,0,113,5
488,2890,0,0,5
489,2890,0,0,5
490,2890,0,0,5
491,2849,0,41,7
492,2793,0,97,5
493,2886,0,4,5
494,2890,0,0,5
495,2890,0,0,5
496,2879,0,11,5
497,2890,0,0,5
498,2890,0,0,5
499,2808,0,82,5
500,2875,6,9,5
501,2832,6,52,5
502,2751,6,133,5
503,2860,6,24,5
504,2830,6,54,5
505,2884,6,0,5
506,2798,6,86,5
507,2849,6,35,5
508,2830,6,54,7
509,2846,6,38,5
510,2822,6,62,5
511,2884,6,0,7
512,2884,6,0,5
513,2884,6,0,5
514,2624,6,260,5
515,2864,6,20,5
516,2867,6,17,5
517,2875,6,9,5
518,2811,6,73,5
519,2802,6,82,7
520,2837,6,47,5
521,2846,6,38,5
522,2845,6,39,5
523,2835,6,49,5
524,2814,6,70,5
525,2884,6,0,5
526,2802,6,82,5
527,2884,6,0,5
528,2849,6,35,5
529,2877,6,7,5
530,2884,6,0,5
531,2810,6,74,5
532,2884,6,0,7
533,2878,6,6,5
534,2884,6,0,7
535,2853,6,31,5
536,2836,6,48,5
537,2813,6,71,5
538,2848,6,36,5
539,2884,6,0,7
540,2859,6,25,5
541,2883,6,1,5
542,2711,6,179,5
543,2849,6,35,5
544,2804,6,80,5
545,2879,6,5,5
546,2655,6,229,5
547,2668,6,216,5
548,2870,6,14,5
549,2823,6,61,5
550,2884,6,0,5
551,2715,6,169,1
552,2775,6,109,5
553,2839,6,45,5
554,2841,6,43,5
555,2845,6,39,5
556,2857,6,27,5
557,2883,6,1,5
558,2849,6,35,5
559,2851,6,33,5
560,2783,6,101,5
561,2860,6,24,5
562,2811,6,73,5
563,2884,6,0,7
564,2884,6,0,7
565,2855,6,29,5
566,2843,6,41,5
567,2808,6,76,5
568,2841,6,43,5
569,2884,6,0,5
570,2884,6,0,3
571,2831,6,53,6
572,2884,6,0,5
573,2802,6,82,7
574,2884,6,0,5
575,2884,6,0,5
576,2873,6,11,5
577,2837,6,47,7
578,2877,6,7,5
579,2844,6,40,5
580,2772,6,112,5
581,2831,6,53,5
582,2713,6,171,5
583,2815,6,69,5
584,2839,6,45,5
585,2825,6,59,5
586,2884,6,0,5
587,2876,6,8,5
588,2809,6,75,5
589,2868,6,16,5
590,2873,6,11,5
591,2799,6,85,5
592,2879,6,5,7
593,2660,6,224,5
594,2868,6,16,5
595,2884,6,0,7
596,2881,6,3,7
597,2823,6,61,5
598,2845,6,39,5
599,2884,6,0,7
600,2811,6,73,5
601,2841,6,43,5
602,2706,6,178,5
603,2862,6,22,5
604,2850,6,34,5
605,2883,6,1,5
606,2838,6,46,5
607,2846,6,38,5
608,2864,6,20,5
609,2882,6,2,7
610,2824,6,60,5
611,2854,6,30,5
612,2883,6,1,1
613,2829,6,55,5
614,2884,6,0,7
615,2860,6,24,5
616,2863,6,21,5
617,2811,6,73,5
618,2884,6,0,5
619,2839,6,45,5
620,2871,6,13,5
621,2846,6,38,5
622,2670,6,214,5
623,2745,6,139,5
624,2884,6,0,7
625,2883,6,1,5
626,2806,6,78,5
627,2839,6,45,5
628,2763,6,121,5
629,2817,6,67,5
630,2860,6,24,5
631,2860,6,24,5
632,2869,6,15,5
633,2654,6,230,5
634,2843,6,41,5
635,2839,6,45,2
636,2857,6,27,5
637,2647,6,237,5
638,2882,6,2,7
639,2875,6,9,5
640,2884,6,0,7
641,2884,6,0,5
642,2871,6,13,5
643,2826,6,58,5
644,2847,6,37,5
645,2668,6,216,5
646,2839,6,45,5
647,2884,6,0,5
648,2883,6,1,5
649,2883,6,1,5
650,2832,6,52,5
651,2856,6,28,5
652,2839,6,45,5
653,2848,6,36,5
654,2858,6,26,5
655,2853,6,31,1
656,2884,6,0,5
657,2865,6,19,5
658,2850,6,34,5
659,2864,6,20,5
660,2720,6,164,5
661,2821,6,63,5
662,2881,6,3,5
663,2884,6,0,5
664,2884,6,0,7
665,2851,6,33,5
666,2811,6,73,5
667,2884,6,0,7
668,2831,6,53,5
669,2786,6,98,5
670,2798,6,86,5
671,2884,6,0,5
672,2724,6,162,5
673,2867,6,17,5
674,2849,6,35,5
675,2884,6,0,5
676,2808,6,76,5
677,2852,6,32,5
678,2884,6,0,5
679,2884,6,0,5
680,2877,6,7,7
681,2884,6,0,7
682,2800,6,84,5
683,2753,6,131,5
684,2877,6,7,5
685,2710,6,180,5
686,2584,6,306,5
687,2881,6,3,5
688,2884,6,0,7
689,2812,6,72,5
690,2879,6,5,5
691,2755,6,129,5
692,2884,6,0,7
693,2804,6,80,5
694,2884,6,0,7
695,2861,6,23,5
696,2883,6,1,5
697,2848,6,36,5
698,2884,6,0,5
699,2742,6,144,5
700,2839,6,45,5
701,2756,6,128,5
702,2884,6,0,5
703,2835,6,49,5
704,2852,6,32,5
705,2876,6,8,5
706,2884,6,0,5
707,2876,6,8,5
708,2859,6,25,5
709,2884,6,0,7
710,2837,6,47,5
711,2873,6,11,5
712,2884,6,0,7
713,2880,6,4,7
714,2736,6,148,5
715,2863,6,21,5
716,2884,6,0,7
717,2881,6,3,5
718,2854,6,30,5
719,2635,6,249,5
720,2864,6,20,5
721,2884,6,0,5
722,2840,6,44,5
723,2884,6,0,5
724,2833,6,51,5
725,2822,6,62,5
726,2853,6,31,5
727,2810,6,74,5
728,2761,6,123,5
729,2812,6,76,5
730,2781,6,103,5
731,2615,6,275,5
732,2795,6,89,5
733,2868,6,16,5
734,2882,6,2,5
735,2872,6,12,5
736,2882,6,2,5
737,2883,6,1,5
738,2867,6,17,7
739,2856,6,28,5
740,2840,6,44,5
741,2773,6,113,5
742,2884,6,0,5
743,2884,6,0,7
744,2884,6,0,5
745,2843,6,41,7
746,2787,6,97,5
747,2880,6,4,5
748,2884,6,0,5
749,2884,6,0,7
750,2875,6,11,5
751,2884,6,0,7
752,2884,6,0,5
753,2802,6,82,5
754,2829,9,52,5
755,2748,9,133,7
756,2857,9,24,5
757,2827,9,54,5
758,2881,9,0,5
759,2795,9,86,5
760,2846,9,35,5
761,2827,9,54,5
762,2843,9,38,5
763,2819,9,62,5
764,2881,9,0,1
765,2881,9,0,5
766,2881,9,0,5
767,2621,9,260,5
768,2861,9,20,5
769,2864,9,17,5
770,2872,9,9,5
771,2808,9,73,5
772,2799,9,82,7
773,2834,9,47,5
774,2843,9,38,5
775,2842,9,39,5
776,2832,9,49,1
777,2811,9,70,5
778,2881,9,0,6
779,2799,9,82,5
780,2881,9,0,5
781,2846,9,35,5
782,2874,9,7,5
783,2881,9,0,5
784,2807,9,74,5
785,2881,9,0,1
786,2875,9,6,5
787,2850,9,31,5
788,2833,9,48,5
789,2810,9,71,5
790,2845,9,36,5
791,2881,9,0,1
792,2856,9,25,7
793,2880,9,1,5
794,2702,9,179,7
795,2846,9,35,1
796,2801,9,80,5
797,2876,9,5,5
798,2652,9,229,1
799,2665,9,216,5
800,2867,9,14,5
801,2820,9,61,5
802,2881,9,0,5
803,2712,9,169,1
804,2772,9,109,7
805,2836,9,45,5
806,2838,9,43,5
807,2842,9,39,5
808,2854,9,27,5
809,2880,9,1,5
810,2846,9,35,5
811,2848,9,33,5
812,2780,9,101,5
813,2857,9,24,7
814,2808,9,73,5
815,2881,9,0,1
816,2881,9,0,1
817,2852,9,29,5
818,2840,9,41,5
819,2805,9,76,5
820,2838,9,43,1
821,2881,9,0,5
822,2881,9,0,3
823,2828,9,53,6
824,2881,9,0,1
825,2799,9,82,7
826,2881,9,0,5
827,2881,9,0,1
828,2870,9,11,5
829,2834,9,47,1
830,2874,9,7,5
831,2841,9,40,5
832,2769,9,112,5
833,2836,9,53,7
834,2710,9,171,1
835,2812,9,69,5
836,2836,9,45,5
837,2822,9,59,7
838,2881,9,0,5
839,2873,9,8,5
840,2812,9,75,5
841,2865,9,16,5
842,2870,9,11,1
843,2796,9,85,1
844,2876,9,5,1
845,2657,9,224,1
846,2865,9,16,5
847,2881,9,0,1
848,2878,9,3,1
849,2820,9,61,5
850,2842,9,39,5
851,2881,9,0,1
852,2808,9,73,5
853,2838,9,43,5
854,2703,9,178,3
855,2859,9,22,5
856,2847,9,34,5
857,2880,9,1,5
858,2835,9,46,5
859,2843,9,38,7
860,2861,9,20,5
861,2879,9,2,1
862,2821,9,60,5
863,2851,9,30,7
864,2880,9,1,1
865,2826,9,55,5
866,2881,9,0,1
867,2857,9,24,5
868,2860,9,21,5
869,2814,9,73,5
870,2881,9,0,5
871,2838,9,45,7
872,2868,9,13,5
873,2843,9,38,5
874,2667,9,214,5
875,2742,9,139,5
876,2881,9,0,1
877,2880,9,1,5
878,2856,9,25,1
879,2803,9,78,5
880,2836,9,45,5
881,2760,9,121,7
882,2814,9,67,5
883,2857,9,24,5
884,2857,9,24,5
885,2866,9,15,5
886,2651,9,230,5
887,2840,9,41,5
888,2836,9,45,7
889,2854,9,27,5
890,2644,9,237,5
891,2879,9,2,7
892,2872,9,9,7
893,2881,9,0,1
894,2881,9,0,5
895,2870,9,13,7
896,2825,9,58,5
897,2844,9,37,5
898,2665,9,216,1
899,2836,9,45,5
900,2881,9,0,5
901,2880,9,1,5
902,2880,9,1,5
903,2829,9,52,5
904,2853,9,28,5
905,2836,9,45,5
906,2851,9,36,1
907,2855,9,26,5
908,2850,9,31,1
909,2881,9,0,5
910,2862,9,19,5
911,2847,9,34,5
912,2861,9,20,5
913,2717,9,164,5
914,2818,9,63,5
915,2878,9,3,5
916,2881,9,0,5
917,2881,9,0,1
918,2848,9,33,5
919,2808,9,73,1
920,2881,9,0,1
921,2828,9,53,5
922,2797,9,98,7
923,2795,9,86,5
924,2881,9,0,1
925,2719,9,162,5
926,2864,9,17,1
927,2852,9,35,7
928,2881,9,0,5
929,2811,9,76,5
930,2857,9,32,7
931,2881,9,0,6
932,2881,9,0,5
933,2874,9,7,7
934,2881,9,0,1
935,2807,9,84,5
936,2750,9,131,5
937,2874,9,7,5
938,2701,9,180,7
939,2575,9,306,7
940,2878,9,3,5
941,2881,9,0,1
942,2815,9,72,1
943,2876,9,5,5
944,2752,9,129,5
945,2881,9,0,1
946,2801,9,80,5
947,2881,9,0,1
948,2858,9,23,5
949,2880,9,1,5
950,2845,9,36,1
951,2881,9,0,5
952,2737,9,144,5
953,2836,9,45,1
954,2753,9,128,5
955,2881,9,0,5
956,2832,9,49,5
957,2849,9,32,5
958,2873,9,8,5
959,2881,9,0,5
960,2873,9,8,5
961,2856,9,25,5
962,2881,9,0,1
963,2834,9,47,5
964,2870,9,11,5
965,2881,9,0,1
966,2877,9,4,1
967,2733,9,148,7
968,2860,9,21,7
969,2881,9,0,1
970,2878,9,3,5
971,2851,9,30,1
972,2632,9,249,5
973,2861,9,20,5
974,2881,9,0,5
975,2837,9,44,5
976,2881,9,0,5
977,2830,9,51,5
978,2819,9,62,5
979,2850,9,31,5
980,2807,9,74,5
981,2758,9,123,5
982,2805,9,76,5
983,2778,9,103,5
984,2606,9,275,7
985,2792,9,89,5
986,2865,9,16,1
987,2879,9,2,5
988,2869,9,12,5
989,2879,9,2,5
990,2880,9,1,5
991,2864,9,17,1
992,2853,9,28,5
993,2837,9,44,5
994,2768,9,113,5
995,2881,9,0,5
996,2881,9,0,1
997,2881,9,0,5
998,2846,9,41,7
999,2784,9,97,7
1000,2877,9,4,5
1001,2881,9,0,5
1002,2881,9,0,1
1003,2870,9,11,5
1004,2881,9,0,1
1005,2881,9,0,5
1006,2799,9,82,5
1007,2705,52,133,7
1008,2814,52,24,5
1009,2796,52,54,1
1010,2838,52,0,5
1011,2752,52,86,5
1012,2817,52,35,5
1013,2784,52,54,2
1014,2800,52,38,5
1015,2776,52,62,5
1016,2838,52,0,1
1017,2838,52,0,5
1018,2838,52,0,5
1019,2578,52,260,5
1020,2818,52,20,7
1021,2821,52,17,5
1022,2829,52,9,5
1023,2767,52,73,5
1024,2758,52,82,7
1025,2791,52,47,5
1026,2800,52,38,5
1027,2799,52,39,5
1028,2789,52,49,1
1029,2788,52,70,5
1030,2838,52,0,7
1031,2758,52,82,5
1032,2838,52,0,5
1033,2803,52,35,5
1034,2831,52,7,5
1035,2838,52,0,5
1036,2764,52,74,5
1037,2838,52,0,1
1038,2832,52,6,5
1039,2838,52,0,2
1040,2817,52,31,5
1041,2826,52,48,5
1042,2767,52,71,5
1043,2804,52,36,5
1044,2838,52,0,1
1045,2813,52,25,7
1046,2837,52,1,5
1047,2659,52,179,4
1048,2803,52,35,1
1049,2758,52,80,7
1050,2833,52,5,5
1051,2609,52,229,7
1052,2622,52,216,5
1053,2824,52,14,5
1054,2777,52,61,5
1055,2838,52,0,1
1056,2671,52,169,1
1057,2729,52,109,7
1058,2797,52,45,7
1059,2795,52,43,5
1060,2799,52,39,7
1061,2811,52,27,5
1062,2837,52,1,5
1063,2803,52,35,5
1064,2853,52,33,5
1065,2737,52,101,5
1066,2814,52,24,7
1067,2765,52,73,5
1068,2838,52,0,1
1069,2838,52,0,1
1070,2809,52,29,5
1071,2801,52,41,7
1072,2762,52,76,5
1073,2795,52,43,1
1074,2838,52,0,2
1075,2838,52,0,3
1076,2838,52,0,1
1077,2756,52,82,7
1078,2838,52,0,5
1079,2838,52,0,1
1080,2827,52,11,1
1081,2795,52,47,1
1082,2831,52,7,5
1083,2798,52,40,5
1084,2726,52,112,5
1085,2785,52,53,7
1086,2667,52,171,1
1087,2769,52,69,5
1088,2793,52,45,2
1089,2779,52,59,4
1090,2838,52,0,2
1091,2830,52,8,5
1092,2763,52,75,5
1093,2827,52,11,1
1094,2809,52,85,1
1095,2833,52,5,1
1096,2614,52,224,1
1097,2822,52,16,1
1098,2838,52,0,1
1099,2835,52,3,1
1100,2777,52,61,5
1101,2799,52,39,5
1102,2838,52,0,1
1103,2765,52,73,5
1104,2799,52,43,5
1105,2666,52,178,5
1106,2816,52,22,5
1107,2804,52,34,5
1108,2837,52,1,2
1109,2792,52,46,5
1110,2858,52,38,7
1111,2818,52,20,5
1112,2836,52,2,1
1113,2778,52,60,5
1114,2808,52,30,7
1115,2837,52,1,1
1116,2783,52,55,5
1117,2838,52,0,1
1118,2814,52,24,5
1119,2817,52,21,5
1120,2765,52,73,7
1121,2838,52,0,5
1122,2793,52,45,7
1123,2825,52,13,5
1124,2800,52,38,5
1125,2624,52,214,5
1126,2825,52,13,7
1127,2699,52,139,5
1128,2838,52,0,1
1129,2837,52,1,5
1130,2813,52,25,1
1131,2760,52,78,5
1132,2793,52,45,5
1133,2717,52,121,7
1134,2771,52,67,5
1135,2814,52,24,7
1136,2814,52,24,5
1137,2823,52,15,1
1138,2618,52,230,5
1139,2855,52,41,7
1140,2793,52,45,7
1141,2811,52,27,5
1142,2613,52,237,5
1143,2836,52,2,7
1144,2829,52,9,7
1145,2838,52,0,1
1146,2838,52,0,5
1147,2827,52,13,7
1148,2780,52,58,5
1149,2801,52,37,5
1150,2622,52,216,1
1151,2793,52,45,5
1152,2838,52,0,2
1153,2837,52,1,5
1154,2837,52,1,1
1155,2788,52,52,5
1156,2810,52,28,5
1157,2793,52,45,5
1158,2802,52,36,1
1159,2822,52,26,5
1160,2817,52,31,1
1161,2838,52,0,5
1162,2819,52,19,5
1163,2804,52,34,5
1164,2818,52,20,5
1165,2674,52,164,5
1166,2775,52,63,5
1167,2835,52,3,7
1168,2838,52,0,5
1169,2838,52,0,1
1170,2805,52,33,1
1171,2765,52,73,7
1172,2838,52,0,1
1173,2785,52,53,5
1174,2740,52,98,7
1175,2752,52,86,7
1176,2838,52,0,1
1177,2676,52,162,4
1178,2821,52,17,1
1179,2803,52,35,7
1180,2838,52,0,5
1181,2762,52,76,5
1182,2806,52,32,7
1183,2838,52,0,7
1184,2838,52,0,5
1185,2831,52,7,7
1186,2838,52,0,1
1187,2754,52,84,7
1188,2715,52,131,5
1189,2831,52,7,7
1190,2658,52,180,4
1191,2532,52,306,4
1192,2835,52,3,5
1193,2838,52,0,1
1194,2766,52,72,1
1195,2833,52,5,5
1196,2709,52,129,5
1197,2838,52,0,1
1198,2758,52,80,7
1199,2838,52,0,1
1200,2825,52,23,7
1201,2837,52,1,5
1202,2802,52,36,1
1203,2838,52,0,5
1204,2694,52,144,5
1205,2793,52,45,7
1206,2712,52,128,5
1207,2838,52,0,2
1208,2789,52,49,5
1209,2806,52,32,5
1210,2830,52,8,5
1211,2838,52,0,5
1212,2830,52,8,5
1213,2813,52,25,5
1214,2838,52,0,1
1215,2791,52,47,5
1216,2827,52,11,5
1217,2838,52,0,1
1218,2834,52,4,1
1219,2690,52,148,7
1220,2817,52,21,7
1221,2838,52,0,1
1222,2835,52,3,5
1223,2808,52,30,1
1224,2593,52,249,5
1225,2818,52,20,5
1226,2838,52,0,5
1227,2794,52,44,5
1228,2838,52,0,5
1229,2789,52,51,5
1230,2776,52,62,5
1231,2841,52,31,5
1232,2764,52,74,5
1233,2733,52,123,7
1234,2762,52,76,5
1235,2735,52,103,5
1236,2569,52,275,7
1237,2749,52,89,5
1238,2822,52,16,7
1239,2836,52,2,5
1240,2826,52,12,5
1241,2836,52,2,5
1242,2837,52,1,2
1243,2821,52,17,1
1244,2810,52,28,5
1245,2794,52,44,5
1246,2725,52,113,5
