,Common Values,Drug 1 total substructures,Drug 2 total substructures
552,2775,6.0,71.0
553,2839,6.0,36.0
554,2841,6.0,0.0
555,2845,6.0,25.0
556,2857,6.0,1.0
557,2883,6.0,179.0
558,2849,6.0,35.0
559,2851,6.0,80.0
560,2783,6.0,5.0
561,2860,6.0,229.0
562,2811,6.0,216.0
563,2884,6.0,14.0
564,2884,6.0,61.0
565,2855,6.0,0.0
566,2843,6.0,169.0
567,2808,6.0,109.0
568,2841,6.0,45.0
569,2884,6.0,43.0
570,2884,6.0,39.0
571,2831,6.0,27.0
572,2884,6.0,1.0
573,2802,6.0,35.0
574,2884,6.0,33.0
575,2884,6.0,101.0
576,2873,6.0,24.0
577,2837,6.0,73.0
578,2877,6.0,0.0
579,2844,6.0,0.0
580,2772,6.0,29.0
581,2831,6.0,41.0
582,2713,6.0,76.0
583,2815,6.0,43.0
584,2839,6.0,0.0
585,2825,6.0,0.0
586,2884,6.0,53.0
587,2876,6.0,0.0
588,2809,6.0,82.0
589,2868,6.0,0.0
590,2873,6.0,0.0
591,2799,6.0,11.0
592,2879,6.0,47.0
593,2660,6.0,7.0
594,2868,6.0,40.0
595,2884,6.0,112.0
596,2881,6.0,53.0
597,2823,6.0,171.0
598,2845,6.0,69.0
599,2884,6.0,45.0
600,2811,6.0,59.0
601,2841,6.0,0.0
602,2706,6.0,8.0
603,2862,6.0,75.0
604,2850,6.0,16.0
605,2883,6.0,11.0
606,2838,6.0,85.0
607,2846,6.0,5.0
608,2864,6.0,224.0
609,2882,6.0,16.0
610,2824,6.0,0.0
611,2854,6.0,3.0
612,2883,6.0,61.0
613,2829,6.0,39.0
614,2884,6.0,0.0
615,2860,6.0,73.0
616,2863,6.0,43.0
617,2811,6.0,178.0
618,2884,6.0,22.0
619,2839,6.0,34.0
620,2871,6.0,1.0
621,2846,6.0,46.0
622,2670,6.0,38.0
623,2745,6.0,20.0
624,2884,6.0,2.0
625,2883,6.0,60.0
626,2806,6.0,30.0
627,2839,6.0,1.0
628,2763,6.0,55.0
629,2817,6.0,0.0
630,2860,6.0,24.0
631,2860,6.0,21.0
632,2869,6.0,73.0
633,2654,6.0,0.0
634,2843,6.0,45.0
635,2839,6.0,13.0
636,2857,6.0,38.0
637,2647,6.0,214.0
638,2882,,
639,2875,6.0,139.0
640,2884,6.0,0.0
641,2884,6.0,1.0
642,2871,,
643,2826,6.0,78.0
644,2847,6.0,45.0
645,2668,6.0,121.0
646,2839,6.0,67.0
647,2884,6.0,24.0
648,2883,6.0,24.0
649,2883,6.0,15.0
650,2832,6.0,230.0
651,2856,6.0,41.0
652,2839,6.0,45.0
653,2848,6.0,27.0
654,2858,6.0,237.0
655,2853,6.0,2.0
656,2884,6.0,9.0
657,2865,6.0,0.0
658,2850,6.0,0.0
659,2864,6.0,13.0
660,2720,6.0,58.0
661,2821,6.0,37.0
662,2881,6.0,216.0
663,2884,6.0,45.0
664,2884,6.0,0.0
665,2851,6.0,1.0
666,2811,6.0,1.0
667,2884,6.0,52.0
668,2831,6.0,28.0
669,2786,6.0,45.0
670,2798,6.0,36.0
671,2884,6.0,26.0
672,2724,6.0,31.0
673,2867,6.0,0.0
674,2849,6.0,19.0
675,2884,6.0,34.0
676,2808,6.0,20.0
677,2852,6.0,164.0
678,2884,6.0,63.0
679,2884,6.0,3.0
680,2877,6.0,0.0
681,2884,6.0,0.0
682,2800,6.0,33.0
683,2753,6.0,73.0
684,2877,6.0,0.0
685,2710,6.0,53.0
686,2584,6.0,98.0
687,2881,6.0,86.0
688,2884,6.0,0.0
689,2812,6.0,162.0
690,2879,6.0,17.0
691,2755,6.0,35.0
692,2884,6.0,0.0
693,2804,6.0,76.0
694,2884,6.0,32.0
695,2861,6.0,0.0
696,2883,6.0,0.0
697,2848,6.0,7.0
698,2884,6.0,0.0
699,2742,6.0,84.0
700,2839,6.0,131.0
701,2756,6.0,7.0
702,2884,6.0,180.0
703,2835,6.0,306.0
704,2852,6.0,3.0
705,2876,6.0,0.0
706,2884,6.0,72.0
707,2876,6.0,5.0
708,2859,6.0,129.0
709,2884,6.0,0.0
710,2837,6.0,80.0
711,2873,6.0,0.0
712,2884,6.0,23.0
713,2880,6.0,1.0
714,2736,6.0,36.0
715,2863,6.0,0.0
716,2884,6.0,144.0
717,2881,6.0,45.0
718,2854,6.0,128.0
719,2635,6.0,0.0
720,2864,6.0,49.0
721,2884,6.0,32.0
722,2840,6.0,8.0
723,2884,6.0,0.0
724,2833,6.0,8.0
725,2822,6.0,25.0
726,2853,6.0,0.0
727,2810,6.0,47.0
728,2761,6.0,11.0
729,2812,6.0,0.0
730,2781,6.0,4.0
731,2615,6.0,148.0
732,2795,6.0,21.0
733,2868,6.0,0.0
734,2882,6.0,3.0
735,2872,6.0,30.0
736,2882,6.0,249.0
737,2883,6.0,20.0
738,2867,6.0,0.0
739,2856,6.0,44.0
740,2840,6.0,0.0
741,2773,6.0,51.0
742,2884,6.0,62.0
743,2884,6.0,31.0
744,2884,6.0,74.0
745,2843,6.0,123.0
746,2787,6.0,76.0
747,2880,6.0,103.0
748,2884,6.0,275.0
749,2884,6.0,89.0
750,2875,6.0,16.0
751,2884,6.0,2.0
752,2884,6.0,12.0
753,2802,6.0,2.0
754,2829,6.0,1.0
755,2748,6.0,17.0
756,2857,6.0,28.0
757,2827,6.0,44.0
758,2881,6.0,113.0
759,2795,6.0,0.0
760,2846,6.0,0.0
761,2827,6.0,0.0
762,2843,6.0,41.0
763,2819,6.0,97.0
764,2881,6.0,4.0
765,2881,6.0,0.0
766,2881,6.0,0.0
767,2621,6.0,11.0
768,2861,6.0,0.0
769,2864,6.0,0.0
770,2872,6.0,82.0
771,2808,9.0,52.0
772,2799,9.0,133.0
773,2834,9.0,24.0
774,2843,9.0,54.0
775,2842,9.0,0.0
776,2832,9.0,86.0
777,2811,9.0,35.0
778,2881,9.0,54.0
779,2799,9.0,38.0
780,2881,9.0,62.0
781,2846,9.0,0.0
782,2874,9.0,0.0
783,2881,9.0,0.0
784,2807,9.0,260.0
785,2881,9.0,20.0
786,2875,9.0,17.0
787,2850,9.0,9.0
788,2833,9.0,73.0
789,2810,9.0,82.0
790,2845,9.0,47.0
791,2881,9.0,38.0
792,2856,9.0,39.0
793,2880,9.0,49.0
794,2702,9.0,70.0
795,2846,9.0,0.0
796,2801,9.0,82.0
797,2876,9.0,0.0
798,2652,9.0,35.0
799,2665,9.0,7.0
800,2867,9.0,0.0
801,2820,9.0,74.0
802,2881,9.0,0.0
803,2712,9.0,6.0
804,2772,,
805,2836,9.0,31.0
806,2838,9.0,48.0
807,2842,9.0,71.0
808,2854,9.0,36.0
809,2880,9.0,0.0
810,2846,9.0,25.0
811,2848,9.0,1.0
812,2780,9.0,179.0
813,2857,9.0,35.0
814,2808,9.0,80.0
815,2881,9.0,5.0
816,2881,9.0,229.0
817,2852,9.0,216.0
818,2840,9.0,14.0
819,2805,9.0,61.0
820,2838,9.0,0.0
821,2881,9.0,169.0
822,2881,9.0,109.0
823,2828,9.0,45.0
824,2881,9.0,43.0
825,2799,9.0,39.0
826,2881,9.0,27.0
827,2881,9.0,1.0
828,2870,9.0,35.0
829,2834,9.0,33.0
830,2874,9.0,101.0
831,2841,9.0,24.0
832,2769,9.0,73.0
833,2836,9.0,0.0
834,2710,9.0,0.0
835,2812,9.0,29.0
836,2836,9.0,41.0
837,2822,9.0,76.0
838,2881,9.0,43.0
839,2873,9.0,0.0
840,2812,9.0,0.0
841,2865,9.0,53.0
842,2870,9.0,0.0
843,2796,9.0,82.0
844,2876,9.0,0.0
845,2657,9.0,0.0
846,2865,9.0,11.0
847,2881,9.0,47.0
848,2878,9.0,7.0
849,2820,9.0,40.0
850,2842,9.0,112.0
851,2881,9.0,53.0
852,2808,9.0,171.0
853,2838,9.0,69.0
854,2703,9.0,45.0
855,2859,9.0,59.0
856,2847,9.0,0.0
857,2880,9.0,8.0
858,2835,9.0,75.0
859,2843,9.0,16.0
860,2861,9.0,11.0
861,2879,9.0,85.0
862,2821,9.0,5.0
863,2851,9.0,224.0
864,2880,9.0,16.0
865,2826,9.0,0.0
866,2881,9.0,3.0
867,2857,9.0,61.0
868,2860,9.0,39.0
869,2814,9.0,0.0
870,2881,9.0,73.0
871,2838,9.0,43.0
872,2868,9.0,178.0
873,2843,9.0,22.0
874,2667,9.0,34.0
875,2742,9.0,1.0
876,2881,9.0,46.0
877,2880,9.0,38.0
878,2856,9.0,20.0
879,2803,9.0,2.0
880,2836,9.0,60.0
881,2760,9.0,30.0
882,2814,9.0,1.0
883,2857,9.0,55.0
884,2857,9.0,0.0
885,2866,9.0,24.0
886,2651,9.0,21.0
887,2840,9.0,73.0
888,2836,9.0,0.0
889,2854,9.0,45.0
890,2644,9.0,13.0
891,2879,9.0,38.0
892,2872,9.0,214.0
893,2881,,
894,2881,9.0,139.0
895,2870,9.0,0.0
896,2825,9.0,1.0
897,2844,9.0,25.0
898,2665,9.0,78.0
899,2836,9.0,45.0
900,2881,9.0,121.0
901,2880,9.0,67.0
902,2880,9.0,24.0
903,2829,9.0,24.0
904,2853,9.0,15.0
905,2836,9.0,230.0
906,2851,9.0,41.0
907,2855,9.0,45.0
908,2850,9.0,27.0
909,2881,9.0,237.0
910,2862,9.0,2.0
911,2847,9.0,9.0
912,2861,9.0,0.0
913,2717,9.0,0.0
914,2818,9.0,13.0
915,2878,9.0,58.0
916,2881,9.0,37.0
917,2881,9.0,216.0
918,2848,9.0,45.0
919,2808,9.0,0.0
920,2881,9.0,1.0
921,2828,9.0,1.0
922,2797,9.0,52.0
923,2795,9.0,28.0
924,2881,9.0,45.0
925,2719,9.0,36.0
926,2864,9.0,26.0
927,2852,9.0,31.0
928,2881,9.0,0.0
929,2811,9.0,19.0
930,2857,9.0,34.0
931,2881,9.0,20.0
932,2881,9.0,164.0
933,2874,9.0,63.0
934,2881,9.0,3.0
935,2807,9.0,0.0
936,2750,9.0,0.0
937,2874,9.0,33.0
938,2701,9.0,73.0
939,2575,9.0,0.0
940,2878,9.0,53.0
941,2881,9.0,98.0
942,2815,9.0,86.0
943,2876,9.0,0.0
944,2752,9.0,162.0
945,2881,9.0,17.0
946,2801,9.0,35.0
947,2881,9.0,0.0
948,2858,9.0,76.0
949,2880,9.0,32.0
950,2845,9.0,0.0
951,2881,9.0,0.0
952,2737,9.0,7.0
953,2836,9.0,0.0
954,2753,9.0,84.0
955,2881,9.0,131.0
956,2832,9.0,7.0
957,2849,9.0,180.0
958,2873,9.0,306.0
959,2881,9.0,3.0
960,2873,9.0,0.0
961,2856,9.0,72.0
962,2881,9.0,5.0
963,2834,9.0,129.0
964,2870,9.0,0.0
965,2881,9.0,80.0
966,2877,9.0,0.0
967,2733,9.0,23.0
968,2860,9.0,1.0
969,2881,9.0,36.0
970,2878,9.0,0.0
971,2851,9.0,144.0
972,2632,9.0,45.0
973,2861,9.0,128.0
974,2881,9.0,0.0
975,2837,9.0,49.0
976,2881,9.0,32.0
977,2830,9.0,8.0
978,2819,9.0,0.0
979,2850,9.0,8.0
980,2807,9.0,25.0
981,2758,9.0,0.0
982,2805,9.0,47.0
983,2778,9.0,11.0
984,2606,9.0,0.0
985,2792,9.0,4.0
986,2865,9.0,148.0
987,2879,9.0,21.0
988,2869,9.0,0.0
989,2879,9.0,3.0
990,2880,9.0,30.0
991,2864,9.0,249.0
992,2853,9.0,20.0
993,2837,9.0,0.0
994,2768,9.0,44.0
995,2881,9.0,0.0
996,2881,9.0,51.0
997,2881,9.0,62.0
998,2846,9.0,31.0
999,2784,9.0,74.0
1000,2877,9.0,123.0
1001,2881,9.0,76.0
1002,2881,9.0,103.0
1003,2870,9.0,275.0
1004,2881,9.0,89.0
1005,2881,9.0,16.0
1006,2799,9.0,2.0
1007,2705,9.0,12.0
1008,2814,9.0,2.0
1009,2796,9.0,1.0
1010,2838,9.0,17.0
1011,2752,9.0,28.0
1012,2817,9.0,44.0
1013,2784,9.0,113.0
1014,2800,9.0,0.0
1015,2776,9.0,0.0
1016,2838,9.0,0.0
1017,2838,9.0,41.0
1018,2838,9.0,97.0
1019,2578,9.0,4.0
1020,2818,9.0,0.0
1021,2821,9.0,0.0
1022,2829,9.0,11.0
1023,2767,9.0,0.0
1024,2758,9.0,0.0
1025,2791,9.0,82.0
1026,2800,52.0,133.0
1027,2799,52.0,24.0
1028,2789,52.0,54.0
1029,2788,52.0,0.0
1030,2838,52.0,86.0
1031,2758,52.0,35.0
1032,2838,52.0,54.0
1033,2803,52.0,38.0
1034,2831,52.0,62.0
1035,2838,52.0,0.0
1036,2764,52.0,0.0
1037,2838,52.0,0.0
1038,2832,52.0,260.0
1039,2838,52.0,20.0
1040,2817,52.0,17.0
1041,2826,52.0,9.0
1042,2767,52.0,73.0
1043,2804,52.0,82.0
1044,2838,52.0,47.0
1045,2813,52.0,38.0
1046,2837,52.0,39.0
1047,2659,52.0,49.0
1048,2803,52.0,70.0
1049,2758,52.0,0.0
1050,2833,52.0,82.0
1051,2609,52.0,0.0
1052,2622,52.0,35.0
1053,2824,52.0,7.0
1054,2777,52.0,0.0
1055,2838,52.0,74.0
1056,2671,52.0,0.0
1057,2729,52.0,6.0
1058,2797,52.0,0.0
1059,2795,52.0,31.0
1060,2799,52.0,48.0
1061,2811,52.0,71.0
1062,2837,52.0,36.0
1063,2803,52.0,0.0
1064,2853,52.0,25.0
1065,2737,52.0,1.0
1066,2814,52.0,179.0
1067,2765,52.0,35.0
1068,2838,52.0,80.0
1069,2838,52.0,5.0
1070,2809,52.0,229.0
1071,2801,52.0,216.0
1072,2762,52.0,14.0
